id,location_id,sales_id,features_id,yearBuilt,assessorID,legalDescription,ownerOccupied,propertyType,taxAssessment,propertyTaxes,subdivision,zoning
"440-Sarah-Ln,-Coldwater,-MI-49036",85,2,73,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"Tbd-Sw-133rd-Ln,-Ocala,-FL-34473",86,2,74,0.0,Unknown,Unknown,0.0,Land,Unknown,Unknown,Unknown,Unknown
"909-Norse-St,-High-Point,-NC-27265",87,57,75,1983.0,0191761,19 PB 55-38 909 NORSE ST,0.0,Single Family,"{'2020': {'value': 138500, 'land': 27000, 'improvements': 111500}, '2023': {'value': 144200, 'land': 30000, 'improvements': 114200}}","{'2020': {'total': 1909}, '2023': {'total': 1944}}",VIKING VILLAGE,R-3
"PO-Box-15091,-Winston-Salem,-NC-27113",88,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"330-Banuelo-Dr,-Henderson,-NV-89014",89,58,76,1983.0,178-08-615-014,GREEN VALLEY VILLAGE UNIT F PLAT BOOK 24 PAGE 49 LOT 10 BLOCK 10,0.0,Single Family,"{'2020': {'value': 66337, 'land': 30135, 'improvements': 36202}, '2022': {'value': 69801, 'land': 32340, 'improvements': 37461}}","{'2019': {'total': 1373}, '2021': {'total': 1579}}",GREEN VALLEY VILLAGE UNIT F,Unknown
"9290-Starcross-Ln,-Las-Vegas,-NV-89147",90,59,77,1996.0,163-17-219-012,STARLIGHT LUXURY HOMES 5 PLAT BOOK 68 PAGE 40 LOT 12 BLOCK 1,0.0,Single Family,"{'2022': {'value': 94019, 'land': 33600, 'improvements': 60419}}",{'2021': {'total': 2176}},STARLIGHT LUXURY HOMES 5,Unknown
"4744-Winter-St,-Fort-Wayne,-IN-46806",91,60,78,1961.0,02-12-24-280-030.000-074,LOT 613 MT VERNON PARK ADD SEC 5,1.0,Single Family,"{'2023': {'value': 50300, 'land': 7700, 'improvements': 42600}}",{'2022': {'total': 460}},MT VERNON PARK ADD,Unknown
"243-Shell-Mound-Ct,-Unit-47,-West-Columbia,-SC-29170",92,2,79,2019.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"134-Magnolia-Farms-Dr,-Milner,-GA-30257",93,2,80,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"7506-Stafford-Rd,-Lot-4,-Charleston,-SC-29406",94,61,81,1988.0,MH00053328,LEGAL DESCRIPTION 1988 FLEETWOOD WESTON GAFLJ75AO4639WE,1.0,Manufactured,"{'2021': {'value': 200}, '2022': {'value': 200}}",{'2022': {'total': 158}},Unknown,Unknown
"1575-Tonawanda-Ave,-Akron,-OH-44305",95,62,82,1919.0,68-40209,GOODYR HTS LOT 1703 ALL,1.0,Single Family,"{'2021': {'value': 19190, 'land': 5060, 'improvements': 14130}}",{'2022': {'total': 1392}},GOODYEAR HEIGHTS,Unknown
"650-S-Xenon-Ct,-Lakewood,-CO-80228",96,63,83,1966.0,49-172-07-041,SECTION 17 TOWNSHIP 04 RANGE 69 SUBDIVISIONCD 307800 SUBDIVISIONNAME GREEN MOUNTAIN TOWNHOUSES 1ST FLG 1STAMD CONDO BLOCK 001,1.0,Single Family,"{'2021': {'value': 17604, 'land': 4290, 'improvements': 13314}}",{'2022': {'total': 1579}},GREEN MOUNTAIN TOWNHOUSES 1ST FLG 1STAMD,Unknown
"4115-W-Bolton-Dr,-Eagle,-ID-83616",97,64,84,2017.0,R7412550320,LOT 08 BLK 12 REYNARD SUB NO 5,0.0,Single Family,"{'2022': {'value': 761900, 'land': 174800, 'improvements': 587100}, '2023': {'value': 600600, 'land': 174800, 'improvements': 425800}}",{'2022': {'total': 3360}},REYNARD SUB NO 05,MU-DA
"1208-Remington-St,-Graham,-TX-76450",98,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1419-2nd-Ave,-Fairview-Heights,-IL-62208",99,65,85,1958.0,02-25-0-105-024,DAVINROY PLACE 1ST ADD LOT/SEC-7 LOT 7 & SW 25FT LOT 6 A02482170,1.0,Single Family,"{'2019': {'value': 13078, 'land': 2419, 'improvements': 10659}, '2022': {'value': 14099, 'land': 2415, 'improvements': 11684}}",{'2019': {'total': 1860}},DAVINROY PLACE,Unknown
"2170-Highland-Gate-Dr,-Cumming,-GA-30040",100,66,86,2004.0,131  206,2-1 345 LT15 UN1 SEC2 STO NEBROOKE COMM,1.0,Single Family,"{'2020': {'value': 103640, 'land': 32000, 'improvements': 71640}, '2021': {'value': 110624, 'land': 32000, 'improvements': 78624}, '2022': {'value': 110624, 'land': 32000, 'improvements': 78624}}","{'2020': {'total': 2862}, '2021': {'total': 3055}, '2022': {'total': 3615}}",STONEBROOKE COMMONS UN 1 SEC 2,R3
"690-Sw-1st-Ct,-Apt-1716,-Miami,-FL-33130",101,67,87,2006.0,01-4138-122-2220,NEO VERTIKA CONDO UNIT 1716 UNDIV 0.002006547% INT IN COMMON ELEMENTS OFF REC 24605-3349 COC 24883-0767 06 2006 1,0.0,Condo,{'2022': {'value': 242889}},{'2022': {'total': 4672}},NEO VERTIKA CONDO,"6600:COMMERCIAL,LIBERAL"
"1306-Heidt-Ave-Ste-C,-Savannah,-GA-31408",102,68,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1457-Fence-Post-Dr,-Haslet,-TX-76052",103,69,88,2010.0,37880A-27-14,SENDERA RANCH BLOCK 27 LOT 14,1.0,Single Family,"{'2022': {'value': 529792, 'land': 90000, 'improvements': 439792}}",{'2022': {'total': 11626}},SENDERA RANCH,Unknown
"295-S-Main-St,-Marthaville,-LA-71450",104,2,89,0.0,0050152100,"LOTS 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, & 15 BLK 42 OF MARTHAVILLE H.E. REMOVED DUE TO RETURNED CARD 2021",0.0,Single Family,"{'2022': {'value': 4470, 'land': 2330, 'improvements': 2140}}",{'2022': {'total': 433}},MARTHAVILLE,Unknown
"6210-Limestone-Ln,-Midlothian,-TX-76065",105,70,90,2016.0,54.6271.902.017.00.112,LOT 17 BLK B MCALPIN MANOR PH 2 1.075 AC,1.0,Single Family,"{'2020': {'value': 456730, 'land': 105000, 'improvements': 351730}, '2022': {'value': 652807, 'land': 127500, 'improvements': 525307}}","{'2020': {'total': 9991}, '2022': {'total': 1394}}",MCALPIN MANOR PH 2,Unknown
"2206-Driftwood-Cir,-West-Palm-Beach,-FL-33410",106,71,91,1987.0,00-43-41-32-09-000-0750,MAHEU ESTATES NO 2 LT 75,1.0,Single Family,"{'2021': {'value': 672746}, '2022': {'value': 692928}}","{'2021': {'total': 11476}, '2022': {'total': 11507}}",MAHEU ESTATES NO,RS
"385-Vernon-Ave,-Apt-4B,-New-York,-NY-11206",107,2,92,0.0,Unknown,Unknown,0.0,Apartment,Unknown,Unknown,Unknown,Unknown
"372-White-St,-Apt-A5,-Orange,-NJ-07050",108,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"4343-Plumeria-Ave,-Baytown,-TX-77521",109,72,93,2007.0,1286040000083,LT 83 BAY RIVER COLONY SEC 1,1.0,Single Family,"{'2021': {'value': 188824, 'land': 43465, 'improvements': 145359}, '2022': {'value': 231479, 'land': 43465, 'improvements': 188014}, '2023': {'value': 249147, 'land': 43465, 'improvements': 205682}}","{'2020': {'total': 962}, '2021': {'total': 4199}, '2022': {'total': 994}}",BAY RIVER COLONY,Unknown
"3838-E-Elmwood-St,-Mesa,-AZ-85205",110,73,94,2013.0,140-04-178,TROVITA ESTATES PHASE 2 MCR 1109-23,1.0,Single Family,"{'2021': {'value': 58150, 'land': 11630, 'improvements': 46520}, '2023': {'value': 75380, 'land': 15070, 'improvements': 60310}, '2024': {'value': 97380}}","{'2020': {'total': 5380}, '2022': {'total': 5397}, '2023': {'total': 5523}}",TROVITA ESTATES PHASE 2,R-15
"18W137-Kirkland-Ln,-Villa-Park,-IL-60181",111,74,95,1967.0,06-21-208-024,DANBY SUB UNIT 2 LOT 2 AREA 15 UNIT 2,1.0,Single Family,"{'2018': {'value': 38400, 'land': 3850, 'improvements': 34550}, '2021': {'value': 50670, 'land': 5060, 'improvements': 45610}, '2022': {'value': 51960, 'land': 5190, 'improvements': 46770}}","{'2018': {'total': 2511}, '2021': {'total': 3287}, '2022': {'total': 3406}}",DANBY SUB,R
"375-S-Mcmullen-Booth-Rd,-Apt-95,-Clearwater,-FL-33759",112,75,96,1974.0,16-29-16-91660-008-0950,"TRADEWINDS CONDO BLDG 8-A, APT 95",0.0,Condo,{'2022': {'value': 96234}},{'2022': {'total': 1377}},TRADEWINDS CONDO,Unknown
"5855-N-Sheridan-Rd,-Apt-19A,-Chicago,-IL-60660",113,76,97,1974.0,14-05-403-021-1147,(THORNDALE)(BEACH)(SOUTH) CONDOMINIUM SEC 05-40-14,1.0,Condo,"{'2019': {'value': 27074, 'land': 1113, 'improvements': 25961}}",{'2019': {'total': 4199}},THORNDALE BEACH SOUTH CONDOMINIUM,Unknown
"1621-E-79th-St,-Cleveland,-OH-44103",114,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1203-N-Grant-St,-Roma,-TX-78584",115,77,98,0.0,150000510000200000000,LOT 2 BLOCK 51 ROMA OT,0.0,Single Family,"{'2022': {'value': 80120, 'land': 28430, 'improvements': 51690}, '2023': {'value': 98860, 'land': 28430, 'improvements': 70430}}",{'2022': {'total': 919}},Unknown,Unknown
"3204-Wesley-Ave,-Unit-1,-Ocean-City,-NJ-08226",116,78,99,1956.0,Unknown,Unknown,0.0,Condo,Unknown,Unknown,Unknown,Unknown
"2481-Freetown-Dr,-Reston,-VA-20191",117,2,100,1975.0,026-3-12-01-0012,RESTON LT 12 BLK 1 SEC 36,1.0,Single Family,"{'2022': {'value': 663260, 'land': 308000, 'improvements': 355260}}",{'2022': {'total': 7896}},RESTON L,PRC(GENERAL COMBINATION D
"Fairway-Dr,-Yadkinville,-NC-27055",118,2,101,0.0,Unknown,Unknown,0.0,Land,Unknown,Unknown,Unknown,Unknown
"4928-W-112th-St,-Inglewood,-CA-90304",119,79,102,1925.0,4039-017-048,"*LAND DESC IN DOC 1151538,771018 *TR=324*POR OF LOT 360",0.0,Single Family,"{'2021': {'value': 310935, 'land': 248749, 'improvements': 62186}, '2023': {'value': 323494, 'land': 258797, 'improvements': 64697}}","{'2021': {'total': 5113}, '2023': {'total': 5304}}",324,LCR2YY
"3911-Aledo-St,-Houston,-TX-77051",120,80,103,1947.0,0641680250022,LT 22 BLK I SUNNYSIDE COURTS,0.0,Single Family,"{'2019': {'value': 44298, 'land': 21250, 'improvements': 23048}, '2020': {'value': 49582, 'land': 23750, 'improvements': 25832}, '2021': {'value': 89094, 'land': 40000, 'improvements': 49094}, '2022': {'value': 111140, 'land': 55000, 'improvements': 56140}, '2023': {'value': 142228, 'land': 70000, 'improvements': 72228}}","{'2017': {'total': 804}, '2020': {'total': 1190}, '2021': {'total': 2076}, '2022': {'total': 2447}}",SUNNYSIDE COURTS,Unknown
"265-Palma-Ct,-Apt-26,-Oceanside,-CA-92058",121,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1020-Highway,-32,-Water-Valley,-MS-38965",122,2,104,2017.0,0803000010206,DIST:3000 SEC/TWN/RNG/MER:SEC 06 TWN 12 RNG 02W 1AC N OF RD PT NW1/4 NE 1/4,1.0,Manufactured,"{'2019': {'value': 4333, 'land': 300, 'improvements': 4033}}",{'2019': {'total': 319}},Unknown,Unknown
"938-Bethany-Ave,-Turlock,-CA-95380",123,2,105,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"8638-Maidstone-Ct,-Seminole,-FL-33777",124,81,106,1980.0,13-30-15-02719-000-0300,BARDMOOR COUNTRY CLUB NORTH PHASE 1 LOT 30,1.0,Single Family,"{'2019': {'value': 379881}, '2022': {'value': 535563}}","{'2019': {'total': 118}, '2022': {'total': 8872}}",BARDMOOR COUNTRY CLUB NORTH.PHASE,Unknown
"207-S-Gum-St,-Summerville,-SC-29483",125,2,107,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"2575-Manor-Dr,-Hollidaysburg,-PA-16648",126,82,108,1966.0,08.00-03E.-015.02-000,100 X 120,1.0,Single Family,"{'2023': {'value': 178500, 'land': 35000, 'improvements': 143500}}",{'2023': {'total': 2436}},FRANKSTOWN TOWNSHIP,Unknown
"5643-Double-Oak-Ln,-Birmingham,-AL-35242",127,83,109,0.0,108270002014000,SEC/TWNSHP/RAN 27 19S 02W NBRHD: 01 PARKSIDE/OAKRIDGE/PARKVIEW R-2,1.0,Land,"{'2019': {'value': 8800}, '2022': {'value': 8800}}","{'2019': {'total': 387}, '2022': {'total': 387}}",MOUNTAIN CREST ESTATES,Unknown
"1816-Knox-Rd,-Tolar,-TX-76476",128,2,110,2022.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"1718-Westerly-Dr,-Brandon,-FL-33511",129,84,111,1994.0,U3329202IZF00000000190,PROVIDENCE LAKES UNIT III PHASE C LOT 19 BLOCK F,1.0,Single Family,"{'2022': {'value': 269977, 'land': 67710, 'improvements': 202267}}",{'2022': {'total': 4696}},PROVIDENCE LAKES UNIT III PHASE C,PD
"1821-Nw-69th-St,-Miami,-FL-33147",130,85,112,2024.0,30-3115-005-6370,LIBERTY CITY PB 7-79 LOT 28 BLK 22 LOT SIZE 40.000 X 100 OR 22025-1377-78 0204 4 OR 22057-1905-06 0204 4 COC 26330-3156 04 20,0.0,Duplex-Triplex,"{'2019': {'value': 32035, 'land': 32035}, '2021': {'value': 59981, 'land': 59981}, '2022': {'value': 87926, 'land': 87926}}","{'2019': {'total': 378}, '2022': {'total': 1286}}",LIBERTY CITY,"5700:DUPLEXES,GENERAL"
"22W245-Hackberry-Dr,-Glen-Ellyn,-IL-60137",131,2,113,1964.0,05-35-204-018,A T MCINTOSH & COS VALLEY VIEW UNIT 3,1.0,Single Family,"{'2018': {'value': 124840, 'land': 21380, 'improvements': 103460}}",{'2018': {'total': 8585}},MC INTOSH A T & CO VALLEY VIEW,R
"7603-Cedar-Farm,-San-Antonio,-TX-78239",132,86,114,2004.0,15894-017-0190,NCB 15894 BLK 17 LOT 19 WALZEM FARMS SUBD UT-3,1.0,Single Family,"{'2018': {'value': 160375, 'land': 16790, 'improvements': 155210}, '2021': {'value': 185000, 'land': 39470, 'improvements': 145530}, '2022': {'value': 240000, 'land': 43440, 'improvements': 196560}}","{'2019': {'total': 4060}, '2021': {'total': 4103}, '2022': {'total': 4033}}",WALZEM FARMS SUBD,Unknown
"7908-Big-View-Dr,-Austin,-TX-78730",133,87,115,2008.0,0135380215,LOT 47 BLK M RIVER PLACE SEC 16,1.0,Single Family,"{'2020': {'value': 3013328, 'land': 1345080, 'improvements': 1668248}, '2022': {'value': 5143621, 'land': 1345080, 'improvements': 3798541}, '2023': {'value': 4858664, 'land': 1345080, 'improvements': 3513584}}","{'2020': {'total': 71120}, '2022': {'total': 74648}}",RIVER PLACE SEC 16,Unknown
"27-Chesthill-Ct,-Nottingham,-MD-21236",134,2,116,1984.0,11-1900006975,1614 SQ FT 0.0370 AC PINEDALE WOODS,1.0,Condo,"{'2020': {'value': 186500, 'land': 60000, 'improvements': 126500}, '2022': {'value': 193367}}","{'2020': {'total': 2260}, '2022': {'total': 2177}}",PINEDALE WOODS,Unknown
"887-Franklin-St,-Apt-2303,-Jacksonville,-FL-32206",135,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"115-Georgia-Belle-Ave,-Belmont,-NC-28012",136,88,117,1954.0,185737,FRANK P HALL ESTATE L 192-194 15 032B 016 00 000,1.0,Single Family,"{'2020': {'value': 78330, 'land': 21000, 'improvements': 57330}, '2022': {'value': 78330, 'land': 21000, 'improvements': 57330}}","{'2020': {'total': 728}, '2022': {'total': 721}}",FRANK P HALL ESTATE,R1
"10009-Gerald-Ave,-North-Hills,-CA-91343",137,89,118,1961.0,2685-021-015,TRACT # 24009 LOT 74,1.0,Single Family,"{'2023': {'value': 251823, 'land': 105407, 'improvements': 146416}}",{'2023': {'total': 3320}},24009,LARS
"427-The-Pkwy,-Greer,-SC-29650",138,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1932-Russell-Rd,-Shreveport,-LA-71107",139,90,119,0.0,181421-001-0274-00,"NORTH 55 FT. OF LOT 84 JONES-MABRY SUB. UNIT 2 LESS R/W, 181421-1-274",0.0,Single Family,"{'2022': {'value': 3222, 'land': 484, 'improvements': 2738}}",{'2022': {'total': 420}},JONES-MABRY SUBN. UNIT 2,Unknown
"5204-40th-St,-Lubbock,-TX-79414",140,91,120,1962.0,R32354,INDIAN HILLS W62'OF L 77,0.0,Single Family,"{'2020': {'value': 88295, 'land': 11780, 'improvements': 76515}, '2022': {'value': 109906, 'land': 11780, 'improvements': 98126}}","{'2020': {'total': 1891}, '2022': {'total': 2225}}",INDIAN HILLS,0038
"3297-FM-2259,---2,-Nacogdoches,-TX-75961",141,2,121,2010.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"3138-Arizona-Ave,-Dallas,-TX-75216",142,92,122,1946.0,00000476356000000,BELMAR BLK 5/5995 LT 10 VOL2002108/5221 DD05282002 CO-DC 5995 005 01000 4DA5995 005,1.0,Single Family,"{'2020': {'value': 71540, 'land': 20000, 'improvements': 51540}, '2022': {'value': 112950, 'land': 60000, 'improvements': 52950}}","{'2020': {'total': 1860}, '2022': {'total': 2835}}",BELMAR,Z298
"8-Reef-Ct,-Sacramento,-CA-95831",143,2,123,1969.0,030-0300-002-0000,LOT:95 LAKE GREENHAVEN SHORES 02,0.0,Single Family,"{'2019': {'value': 514811, 'land': 243661, 'improvements': 271150}}",{'2019': {'total': 6264}},LAKE GREENHAVEN SHORES 02,R-1
"5302-Boyce-Springs-Dr,-Houston,-TX-77066",144,93,124,1972.0,1024990000029,LT 29 BLK 18 017*G6652900-002-018-029 GREENWOOD FOREST SEC 2,1.0,Single Family,"{'2020': {'value': 253621, 'land': 39986, 'improvements': 213635}, '2021': {'value': 290311, 'land': 39986, 'improvements': 250325}, '2022': {'value': 385411, 'land': 63507, 'improvements': 321904}, '2023': {'value': 441117, 'land': 63507, 'improvements': 377610}}","{'2019': {'total': 5768}, '2020': {'total': 4889}, '2021': {'total': 5959}, '2022': {'total': 6024}}",GREENWOOD FOREST,Unknown
"5-Stillwell-Dr,-Plainville,-CT-06062",145,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1873-W-Schwartz-Blvd,-Lady-Lake,-FL-32159",146,94,125,1987.0,06-18-24-0390-000-19510,LADY LAKE ORANGE BLOSSOM GARDENS UNIT 8 LOT 1951 PB 28 PGS 20-24 ORB 5051 PG 1778,1.0,Manufactured,{'2022': {'value': 142520}},{'2022': {'total': 1968}},ORANGE BLOSSOM GARDENS UNIT 08,Unknown
"11514-Annette-Ave,-Unit-136,-Tampa,-FL-33637",147,2,126,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1171-Prospect-Rd,-Pittsburgh,-PA-15227",148,2,127,1941.0,247-B-340,BALDWIN HGTS 1ST PLAN 16-17 LOT 100X155 PROSPEC T RD 2 STY STN HSE-GAR 1171,0.0,Single Family,"{'2023': {'value': 162300, 'land': 41000, 'improvements': 121300}}",{'2023': {'total': 5218}},BALDWIN HEIGHTS PLAN 01,Unknown
"5271-Columbia-Rd,-Columbia,-MD-21044",149,2,128,1988.0,15088230,P/O PAR B1 P/O .5750 5271 COLUMBIA RD VIL DORSEYS SEARCH S3 A1,1.0,Condo,"{'2018': {'value': 295100, 'land': 100300, 'improvements': 194800}}",{'2019': {'total': 4318}},FORSGATE CONDO PH #19,NT
"1525-Potomac-Dr,-Houston,-TX-77057",150,2,129,2000.0,1207610010004,RES A BLK 1 (OPEN SPACE) MONSOUR,1.0,Land,"{'2020': {'value': 4200, 'land': 4200}}",{'2020': {'total': 101}},Unknown,Unknown
"2195-Theda-Ave,-Memphis,-TN-38127",151,95,130,1961.0,072-087- - -00008,LOT:32 DIST:O CITY/MUNI/TWP:MEMPHIS SUBD:WESTWOOD MANOR 1ST ADDN RE,1.0,Single Family,"{'2022': {'value': 19650, 'land': 2025, 'improvements': 17625}, '2023': {'value': 19650, 'land': 2025, 'improvements': 17625}}","{'2021': {'total': 1211}, '2022': {'total': 1197}}",WESTWOOD MANOR 1ST ADDN RE,R-6
"5114-Cottage-Creek-Ln,-Richmond,-TX-77469",152,96,131,2007.0,8016-01-004-0010-901,"THE TRAILS AT SEABOURNE PARK SEC 1, BLOCK 4, LOT 1",1.0,Single Family,"{'2020': {'value': 128000, 'land': 22000, 'improvements': 106000}, '2022': {'value': 165680, 'land': 24200, 'improvements': 141480}}","{'2019': {'total': 4072}, '2021': {'total': 2756}}",THE TRAILS AT SEABOURNE PARK SEC 1,Unknown
"2237-Brighton-Pl,-Harvey,-LA-70058",153,97,132,1995.0,0-30-0010433,LOT 10 SQ G LAKE TIMBERLANE EST SEC 5,1.0,Single Family,"{'2022': {'value': 13930, 'land': 3000, 'improvements': 10930}}",{'2022': {'total': 1864}},LAKE TIMBERLANE EST,Unknown
"2334-Shoreham-Dr,-Saint-Joseph,-MI-49085",154,2,133,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"4603-Mcknight-Mill-Rd,-Greensboro,-NC-27405",155,98,134,0.0,0126974,21 SEC 1 PB47-5 CANNAN FOREST,0.0,Manufactured,"{'2020': {'value': 25000, 'land': 25000}, '2022': {'value': 30000, 'land': 30000}, '2023': {'value': 30000, 'land': 30000}}","{'2020': {'total': 214}, '2022': {'total': 257}, '2023': {'total': 257}}",CANAAN FOREST SEC 01,RS-30
"3878-N-Nc-16-Business-Hwy,-Denver,-NC-28037",156,2,135,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"144-S-Peck-Dr,-Beverly-Hills,-CA-90212",157,99,136,1936.0,4328-026-022,TRACT # 7710 LOT 277,1.0,Duplex-Triplex,"{'2020': {'value': 4457072, 'land': 3401171, 'improvements': 1055901}, '2023': {'value': 4685176, 'land': 3575237, 'improvements': 1109939}}","{'2020': {'total': 53440}, '2023': {'total': 56861}}",7710,BHR4YY
"18233-Cypress-Haven-Dr,-Tampa,-FL-33647",158,100,137,2002.0,U0927205RC000009000170,CROSS CREEK PARCEL K PHASE 2A LOT 17 BLOCK 9,1.0,Single Family,"{'2019': {'value': 245233}, '2022': {'value': 332635}}","{'2019': {'total': 4271}, '2022': {'total': 5360}}",CROSS CREEK PARCEL K PHASE 2A,PD
"2796-Jacamar-Ave-NE,-Saint-Michael,-MN-55376",159,101,2,0.0,114-370-005130,SECT-22 TWP-120 RANGE-024 LEGACY BAY FARMS LOT-013 BLOCK-005,1.0,Single Family,"{'2022': {'value': 366800, 'land': 91000, 'improvements': 275800}}",{'2022': {'total': 864}},Unknown,Unknown
"708-Skyview-Dr,-Nashville,-TN-37206",160,2,138,1950.0,08307017300,LOT 19 ROLLING ACRES 2 SEC 1,0.0,Single Family,Unknown,{'2014': {'total': 1710}},ROLLING ACRES 02 SEC 01,R6
"1708-E-Woodbury-Rd,-Pasadena,-CA-91104",161,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"10316-E-211th-St,-Noblesville,-IN-46062",162,102,139,1978.0,29-07-17-001-009.000-012,"ACREAGE .54, SECTION 17, TOWNSHIP 19, RANGE 5",1.0,Single Family,"{'2022': {'value': 167400, 'land': 39200, 'improvements': 128200}}",{'2021': {'total': 1102}},NOBLESVILLE TWP,Unknown
"339-Allendale-Pl,-Flint,-MI-48503",163,103,140,1965.0,40-14-177-010,"GLENDALE PART OF LOTS 472 AND 473. BEG AT A PT ON ELY LINE OF ALLENDALE PLACE, 8.7 FT NLY ALG SD ELY LINE FROM SWLY COR OF SD",0.0,Single Family,{'2022': {'value': 21500}},Unknown,GLENDALE,C1
"33001-Vine-St,-Apt-D10,-Willowick,-OH-44095",164,2,141,1972.0,28A048E000490,L D-10 A SHAMROCK PARK CONDO BOR-1996-R-106,0.0,Condo,Unknown,Unknown,SHAMROCK PARK CONDO,U2C
"3620-Moreno-Ave,-Spc-45,-La-Verne,-CA-91750",165,2,142,1970.0,8950-794-045,LAY 7990 05034 8381 007 904,0.0,Manufactured,"{'2020': {'value': 20555, 'improvements': 20555}}",{'2020': {'total': 235}},Unknown,Unknown
"8757-49th-Ter-E,-Bradenton,-FL-34211",166,104,143,1999.0,17308.2590-6,LOT G-34 ROSEDALE 6-B A GOLF & TENNIS CLUB COMMUNITY PI#17308.2590/6,1.0,Single Family,"{'2019': {'value': 273620, 'land': 70000, 'improvements': 203620}}",{'2020': {'total': 3851}},ROSEDALE 6-B PB30/5,PD-R
"105-Chestnut-Ln,-Lot-105,-Mars-Hill,-NC-28754",167,2,46,0.0,Unknown,Unknown,0.0,Land,Unknown,Unknown,Unknown,Unknown
"26-Pivot-Ave,-North-Las-Vegas,-NV-89031",168,105,144,2019.0,124-27-811-011,SEDONA RANCH - PARCEL 1 PLAT BOOK 156 PAGE 11 LOT 11,1.0,Single Family,"{'2022': {'value': 140542, 'land': 28000, 'improvements': 112542}, '2023': {'value': 159951, 'land': 36050, 'improvements': 123901}}","{'2021': {'total': 3723}, '2022': {'total': 4021}}",SEDONA RANCH - PARCEL 1,Unknown
"136-Squaw-Valley-Ln,-Tafton,-PA-18464",169,2,145,0.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"4706-N-Winthrop-Ave,-Apt-2A,-Chicago,-IL-60640",170,106,146,1900.0,14-17-201-020-1002,Unknown,1.0,Condo,"{'2018': {'value': 19175, 'land': 2843, 'improvements': 16332}, '2019': {'value': 19175, 'land': 2843, 'improvements': 16332}, '2020': {'value': 17231, 'land': 2843, 'improvements': 14388}}","{'2018': {'total': 3924}, '2019': {'total': 3992}, '2020': {'total': 3976}}",1100 WEST LELAND CONDO,Unknown
"406-Cold-Spring-Dr,-College-Station,-TX-77845",171,107,147,2005.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
"6884-Ducketts-Ln,-Elkridge,-MD-21075",172,2,148,1985.0,01205099,P/O PAR A 1.4671 A 6884 DUCKETTS LN MARBLE HILL DEV,1.0,Condo,"{'2018': {'value': 193400, 'land': 80000, 'improvements': 113400}}",{'2019': {'total': 2913}},MARBLE HILL DEV,RA15
"3600-Clarinth-Rd,-Apt-2B,-Baltimore,-MD-21215",173,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"1816-S-Washington-St,-Kokomo,-IN-46902",174,2,149,1927.0,34-09-01-453-005.000-002,MILLER & HARBAUGH'S FRANKLIN ADDN LOT 148,1.0,Single Family,"{'2019': {'value': 75900, 'land': 12600, 'improvements': 63300}, '2020': {'value': 78700, 'land': 13200, 'improvements': 65500}, '2021': {'value': 78600, 'land': 13200, 'improvements': 65400}}","{'2018': {'total': 422}, '2019': {'total': 489}, '2020': {'total': 557}}",MILLER & HARBAUGHS FRANKLIN AD,Unknown
"10511-Lindley-Ave,-Apt-239,-Porter-Ranch,-CA-91326",175,2,2,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
"455-E-Jefferson-St,-Butler,-PA-16001",176,108,150,1900.0,Unknown,Unknown,0.0,Single Family,Unknown,Unknown,Unknown,Unknown
